,State,Year,Total Housing Units,House Heating Fuel: Gas,House Heating Fuel: Propane,House Heating Fuel: Electric,House Heating Fuel: Fuel Oil,House Heating Fuel: Wood,Year Built: 2010-2013,Year Built: 2000-2009,Year Built: 1990-1999,Year Built: 1980-1989,Year Built: 1970-1979,Year Built: 1960-1969,Year Built: 1950-1959,Year Built: 1940-1949,Year Built: before 1940,Units in Structure: 1 DETACHED,Units in Structure: 1 ATTACHED,Units in Structure: 2,Units in Structure: 3-4,Units in Structure: 5-9,Units in Structure: 10-19,Units in Structure: 20-49,Units in Structure: 50+,Units in Structure: Mobile Home,"Units in Structure: Boat,RV,Van,Etc.",Number of Rooms: 1,Number of Rooms: 2,Number of Rooms: 3,Number of Rooms: 4,Number of Rooms: 5,Number of Rooms: 6,Number of Rooms: 7,Number of Rooms: 8,Number of Rooms: 9+,Median Number of Rooms,Owner-Occupied,Renter-Occupied,Avg household size of owner-occupied unit,Avg household size of renter-occupied unit,Household Income: Total:,"Household Income: Less than $10,000","Household Income: $10,000 to $14,999","Household Income: $15,000 to $19,999","Household Income: $20,000 to $24,999","Household Income: $25,000 to $29,999","Household Income: $30,000 to $34,999","Household Income: $35,000 to $39,999","Household Income: $40,000 to $44,999","Household Income: $45,000 to $49,999","Household Income: $50,000 to $59,999","Household Income: $60,000 to $74,999","Household Income: $75,000 to $99,999","Household Income: $100,000 to $124,999","Household Income: $125,000 to $149,999","Household Income: $150,000 to $199,999","Household Income: $200,000 or more",Median Household Income,Total Population,Year Built: 2014 or later
40,South Carolina,2010,2088161,434131,96547,1146419,39494,18362,125500,249238,432213,360650,350857,211012,165276,79648,113767,1298984,50753,47808,63898,104074,69593,42894,35114,373534,1509,27394,24161,115608,368640,517773,429001,269348,165213,171023,5.5,3094772,1277055,2.54,2.43,1741994,161884,113617,110653,111363,102778,105581,91997,92035,79852,144953,175421,197940,110288,54868,47663,41101,43939.0,4511428,
41,South Dakota,2010,357725,156772,56891,77126,11827,5877,14606,30006,48763,38874,63286,31688,34945,19886,75671,246674,11360,7681,12176,12737,12270,13733,7636,33338,120,3828,9765,28298,62070,65831,53454,46100,37539,50840,5.7,551872,214335,2.54,2.18,315468,23602,19244,17126,20211,19232,20350,17080,16549,15831,29176,36364,38977,19421,8253,6834,7218,46369.0,799462,
42,Tennessee,2010,2769457,866654,128261,1371400,19261,49037,137760,274493,531038,424553,479413,323342,262302,142060,194496,1898589,85981,82398,85222,122822,106151,52115,51961,282699,1519,21248,42717,184819,467978,642488,553109,358558,228766,269774,5.5,4332134,1750720,2.55,2.35,2443475,227986,165808,158162,151858,147949,149337,134401,128639,114391,207326,245624,261744,142927,73579,66875,66869,43314.0,6234968,
43,Texas,2010,9718470,3340749,351071,4743831,11317,40149,649909,1190863,1544229,1787562,1765427,1012560,906762,410033,451125,6371004,250449,201000,311044,482503,641191,317416,380392,747975,15496,121095,280399,1010581,1686450,2212164,1841660,1098778,698432,768911,5.3,16044727,7685762,2.9,2.56,8539206,659954,483281,482329,493409,476116,474919,429954,425906,368806,702335,843465,999489,638325,363203,353324,344391,49646.0,24311891,
44,Utah,2010,952370,735428,21739,83961,2340,10631,61799,116829,187230,133146,181516,75340,76448,39277,80785,656542,53335,30060,43513,33647,41450,32072,22331,38662,758,8432,20076,62119,138851,156239,131840,119509,111190,204114,6.2,1937214,675650,3.17,2.73,859158,41865,34503,36427,40066,41733,44879,44831,46763,42623,84841,105431,123648,73898,39897,31718,26035,56330.0,2657236,
45,Vermont,2010,319364,37904,37355,11225,132661,33772,6308,16535,35876,54475,51262,29669,20938,11923,92378,211759,11224,19956,20806,16847,6236,5597,4516,22318,105,5380,11721,27885,49331,61024,56500,42066,29802,35655,5.6,450983,148738,2.46,2.03,256612,15545,14659,13626,14601,13029,13730,13030,13634,11780,23101,30281,34055,19107,10464,8833,7137,51841.0,624258,
46,Virginia,2010,3315739,1031052,146842,1455780,245290,78390,140140,302289,544978,579474,573008,395772,329438,172852,277788,2074958,340767,56376,89137,159004,193527,63152,149809,188223,786,33716,57588,225755,486834,612213,573333,443710,364246,518344,5.9,5382904,2217824,2.63,2.39,2974481,173936,129456,126141,130547,126464,137492,131347,137805,123791,237280,307364,391449,270297,173032,190367,187713,61406.0,7841754,
47,Washington,2010,2829352,910925,89136,1350378,87337,116155,136172,261503,504037,409169,511951,288402,238733,155993,323392,1787740,98740,75574,106567,136426,154896,126225,131639,206161,5384,55863,106668,265215,468421,522533,471783,359230,256142,323497,5.5,4347030,2073792,2.6,2.28,2577375,158877,112647,115819,122460,122164,129985,123744,125292,112705,218292,283232,355408,232951,133104,124443,106252,57244.0,6561297,
48,West Virginia,2010,879481,324846,36624,287650,33544,45860,21254,47497,118470,118602,152529,87005,100119,76509,157496,627018,15850,20889,24476,24416,14683,8308,12931,130652,258,10140,13572,49518,143644,202628,184516,118192,77073,80198,5.6,1380499,411876,2.5,2.19,740874,78133,59911,57250,53349,48647,45821,39892,39489,34361,60479,69821,74866,37774,17168,12679,11234,38380.0,1840802,
49,Wisconsin,2010,2593073,1502737,250667,296502,99169,97309,81879,213365,364202,256066,393472,262906,294315,158811,568057,1719917,112377,183433,96897,123685,86237,94534,75517,100057,419,34993,58578,216050,437724,554239,476619,332825,223620,258425,5.5,4023717,1463009,2.55,2.11,2274611,136864,121728,122496,127327,123741,127172,117962,117583,106339,206341,262059,312071,177032,86881,70049,58966,51598.0,5637947,
50,Wyoming,2010,255096,134377,24089,43278,829,11206,11079,16925,31789,39412,62015,23040,25188,13740,31908,167771,9427,7250,12243,8371,5300,4991,2222,37217,304,3804,6391,18634,45335,52421,39475,31509,25135,32392,5.5,382389,149618,2.5,2.31,217688,11850,10113,10477,11850,11875,12027,11139,11061,10477,19249,25030,30595,18823,9367,8145,5610,53802.0,545579,
52,US,2010,131512106,57019778,6163212,39256029,8073452,2249863,5287618,11368849,18552267,18727260,21713019,15085735,14796828,7585686,18394844,81136880,7655278,5093024,5856349,6350306,5924874,4541172,6159105,8687578,107540,2080517,3455643,11905927,22323985,27702695,24347216,16176699,10948075,12571349,285.20000000000005,206243758,93447517,137.02,121.93,115463035,8640202,6449016,6227753,6330060,6053704,6140520,5643380,5655725,4975435,9479605,11834194,14138241,8967235,5127466,5001498,4799001,49385.5,307727594,
0,Alabama,2011,2161247,578083,158539,1062612,4683,21165,129560,195160,403841,338604,382523,266675,202812,107730,134342,1476409,37864,46791,62534,91453,64309,35993,34937,308882,2075,18850,25728,131555,341025,508539,460821,288864,185628,200237,5.6,3329157,1303766,2.57,2.43,1831269,180193,130356,122799,118631,107575,104339,94191,93856,78453,147817,174819,197078,117428,63460,55011,45263,42934.0,4747424,
1,Alaska,2011,304373,123142,3971,25039,83916,13844,14939,25639,43625,83332,78040,28609,18766,5850,5573,189274,24403,14507,21012,14919,9204,9927,4740,16000,387,15765,22347,41102,60204,56389,41179,28306,17987,21094,4.7,451004,224074,2.77,2.48,252920,9605,9211,8863,9487,10329,10729,9751,10944,9603,20656,27670,38715,28629,18461,17929,12338,69014.0,700703,
