,State,Year,Total Housing Units,House Heating Fuel: Gas,House Heating Fuel: Propane,House Heating Fuel: Electric,House Heating Fuel: Fuel Oil,House Heating Fuel: Wood,Year Built: 2010-2013,Year Built: 2000-2009,Year Built: 1990-1999,Year Built: 1980-1989,Year Built: 1970-1979,Year Built: 1960-1969,Year Built: 1950-1959,Year Built: 1940-1949,Year Built: before 1940,Units in Structure: 1 DETACHED,Units in Structure: 1 ATTACHED,Units in Structure: 2,Units in Structure: 3-4,Units in Structure: 5-9,Units in Structure: 10-19,Units in Structure: 20-49,Units in Structure: 50+,Units in Structure: Mobile Home,"Units in Structure: Boat,RV,Van,Etc.",Number of Rooms: 1,Number of Rooms: 2,Number of Rooms: 3,Number of Rooms: 4,Number of Rooms: 5,Number of Rooms: 6,Number of Rooms: 7,Number of Rooms: 8,Number of Rooms: 9+,Median Number of Rooms,Owner-Occupied,Renter-Occupied,Avg household size of owner-occupied unit,Avg household size of renter-occupied unit,Household Income: Total:,"Household Income: Less than $10,000","Household Income: $10,000 to $14,999","Household Income: $15,000 to $19,999","Household Income: $20,000 to $24,999","Household Income: $25,000 to $29,999","Household Income: $30,000 to $34,999","Household Income: $35,000 to $39,999","Household Income: $40,000 to $44,999","Household Income: $45,000 to $49,999","Household Income: $50,000 to $59,999","Household Income: $60,000 to $74,999","Household Income: $75,000 to $99,999","Household Income: $100,000 to $124,999","Household Income: $125,000 to $149,999","Household Income: $150,000 to $199,999","Household Income: $200,000 or more",Median Household Income,Total Population,Year Built: 2014 or later
25,Missouri,2012,2720087,1221514,212317,808932,6484,97410,22772,394086,394256,327008,428857,323878,301015,137630,390585,1903644,87953,99181,125832,103957,91265,57559,67863,181410,1423,42033,45893,194405,437837,605656,505724,344834,243352,300353,5.6,4092513,1755265,2.57,2.29,2359135,197814,155115,141223,148080,137110,143549,122760,126769,102077,200049,239031,269069,153110,84338,75288,63753,45321.0,6021988,
26,Montana,2012,486161,221497,48601,86337,5488,37505,6431,78982,68863,56434,92447,42765,44977,26617,68645,334255,15134,17467,25514,13624,9671,9115,6977,54051,353,13985,15454,43591,85992,96897,76149,52034,39467,62592,5.4,669224,307062,2.44,2.28,408938,30978,26397,26074,28419,24803,24000,23284,20241,18027,31997,45319,47108,28804,13194,10750,9543,45076.0,1005141,
27,Nebraska,2012,804274,462920,57442,190063,3686,11392,6999,99966,87681,78365,131895,91224,80136,42716,185292,586179,29795,16640,20164,35401,36416,28053,22457,29061,108,9623,20670,67807,110263,139709,127569,106220,91732,130681,5.9,1245629,558682,2.56,2.26,733570,44164,40350,40458,41491,40214,41690,36878,42828,32472,65354,82898,94305,56596,28284,24795,20793,50723.0,1855525,
28,Nevada,2012,1182842,627705,26371,321747,7231,15907,11581,357108,306752,193865,172756,76636,35739,14268,14137,696588,56378,16112,70202,96671,70479,40614,66529,68463,806,33315,32734,131213,225236,263430,214169,126663,77964,78118,5.1,1475783,1246865,2.67,2.74,1006605,67781,51242,53374,61524,54710,61214,53047,54102,48449,86483,113691,121733,72357,40592,35315,30991,49760.0,2758931,
29,New Hampshire,2012,617005,104858,72091,39257,245324,43948,4663,73116,69962,126351,94454,50710,45494,21518,130737,390280,33201,36797,35646,28773,17998,27052,11262,35974,22,11948,16226,53053,101719,120597,109109,77823,56812,69718,5.5,945219,335395,2.57,2.22,519137,23280,22024,22077,23919,22534,23622,20871,22254,23324,41159,54164,76491,54264,28658,33954,26542,63280.0,1320718,
30,New Jersey,2012,3574763,2368222,60990,377997,356378,13974,19819,357659,319552,410049,461615,499845,571983,295625,638616,1919531,322236,350572,237448,163457,176553,138033,230060,36128,745,89375,81480,372402,547845,603766,582962,439793,374191,482949,5.7,5866915,2810799,2.82,2.52,3198799,186306,128253,132292,128399,131146,130476,123717,108856,113563,223624,298768,409476,324749,210274,272810,276090,69667.0,8864590,
31,New Mexico,2012,906838,514107,60107,123471,780,54216,9477,144803,157031,160177,163674,89772,94396,37760,49748,586747,32872,17620,31976,25597,22757,14966,23149,149399,1755,23422,21928,69740,156455,227602,181462,112015,60260,53954,5.3,1405348,637535,2.71,2.58,764996,79256,51811,50648,47117,47516,44924,39105,36346,31043,58299,70170,84613,48642,28128,28152,19226,42558.0,2085538,
32,New York,2012,8123585,4044389,237738,775390,1901118,155603,40709,539400,503351,613381,813641,988817,1209392,684304,2730590,3411632,397587,871949,593821,428065,336941,630148,1260006,189903,3533,310581,289960,1251314,1492485,1371174,1214826,840495,616680,736070,5.0,10712764,8273545,2.76,2.47,7238922,601351,387742,378760,366099,319731,326769,292332,308273,265732,534127,698386,857092,617675,384256,424622,475975,56448.0,19570261,
33,North Carolina,2012,4375400,919136,288635,2266804,157871,80465,59497,894573,892737,705617,632269,430259,336495,170776,253177,2862306,164581,90527,120371,191643,179660,104177,68894,592216,1025,48504,70145,296557,779463,1041523,823793,546999,342799,425617,5.5,6297214,3199937,2.58,2.48,3731325,326378,246652,224673,236016,216816,223597,194945,190986,170069,309738,365734,416883,244521,130017,116831,117469,45150.0,9752073,
34,North Dakota,2012,329249,119677,38617,111749,11457,1571,7322,45833,38188,38150,65515,32775,33753,15776,51937,202065,16980,6664,13270,12943,16608,25278,10113,25087,241,4830,10654,32007,56748,56058,44090,37221,33872,53769,5.6,474487,199586,2.51,1.96,290944,19119,14102,12133,16272,14474,15875,16250,14503,13063,24251,31200,38393,25261,12097,11222,12729,53585.0,699628,
35,Ohio,2012,5128846,3034608,240185,1015239,115319,94448,28994,506267,601598,455999,735115,646986,738165,334580,1081142,3502110,232946,232449,228928,246684,205512,108735,169925,200319,1238,66089,74151,351426,706147,1009153,1037154,738680,529021,617025,5.8,7713556,3523307,2.55,2.29,4554672,388382,280450,272820,285584,241654,261545,234330,232734,201340,381456,471233,528540,318137,166155,153679,136633,46829.0,11544225,
36,Oklahoma,2012,1677646,781022,103017,521871,2009,28392,24366,238044,186401,253384,334375,207732,187472,102220,143652,1220324,34499,32072,39736,57433,60353,37118,31650,162489,1972,24083,29057,128035,269787,447877,351869,198057,114037,114844,5.4,2491592,1213312,2.59,2.49,1446667,123562,96280,91119,94688,84940,84910,78344,78474,64874,118416,150887,162519,92122,45259,41474,38799,44312.0,3814820,
37,Oregon,2012,1682531,588282,23647,741186,41366,108087,12871,267623,285211,186562,339942,163825,136891,94364,195242,1071380,77858,48708,75017,71066,58873,50193,85109,140360,3967,35869,59491,138620,304536,359407,291761,198364,130672,163811,5.3,2378014,1434919,2.55,2.46,1516957,123176,85653,88596,90156,81250,79085,78973,78637,63355,131046,153200,183368,118508,61523,53738,46693,49161.0,3899353,
38,Pennsylvania,2012,5572765,2530063,188880,1046982,936674,145089,28948,473972,514812,541599,700652,574813,781818,441181,1514970,3178997,1010464,266680,234339,184529,138058,117877,218571,222035,1215,95116,97388,411460,701731,911300,1214022,837945,585110,718693,6.0,8889251,3446310,2.6,2.24,4958249,359101,280596,276652,285122,264215,262611,236012,242665,206240,413101,507832,617796,385256,216578,208306,196166,51230.0,12763536,
51,Puerto Rico,2012,1583437,1585,13203,201684,202,348,5529,208058,260789,251153,353810,266147,136675,60389,40887,1067587,181668,62730,54239,71048,53430,26838,60085,5728,84,28716,54652,172542,413829,551684,221960,74600,43745,21709,4.7,2542750,1086377,2.9,2.82,1263694,366044,143490,136008,105126,84211,70927,60513,51967,41790,57800,57860,43747,18450,8487,10535,6739,19429.0,3667084,
39,Rhode Island,2012,462618,208173,10361,38606,144208,7592,1945,28886,33165,50080,59719,50928,54774,32149,150972,254889,16885,49740,59437,22248,16803,13220,24725,4522,149,10552,13944,45386,82885,95758,92013,49287,34925,37868,5.3,641267,367615,2.59,2.22,413083,33633,25265,20946,20731,17850,19876,17109,19408,17264,29847,42232,50388,37023,21429,21281,18801,54554.0,1050292,
40,South Carolina,2012,2156768,413800,79272,1241285,22605,21893,30715,446597,428167,373983,337157,207600,156270,71946,104333,1342914,59837,48366,57258,102927,75734,55070,45213,368016,1433,24301,26675,137850,364897,518985,423299,282097,182253,196411,5.5,3140224,1444497,2.58,2.54,1787340,169436,121208,115997,116575,106339,102352,96464,94536,81102,147361,174961,188429,112921,57017,55132,47510,43107.0,4723723,
41,South Dakota,2012,368247,156813,54015,92135,7806,6133,6243,57439,44902,38775,65360,32506,33572,19281,70169,253352,11987,5703,12126,15385,13915,13312,8228,34200,39,4750,9622,29431,62385,66446,54757,48218,37743,54895,5.7,556363,242976,2.56,2.28,323765,20738,17490,17114,19998,18474,18709,19654,16770,18337,28072,35529,41974,21796,11680,9223,8207,48362.0,833354,
42,Tennessee,2012,2834808,813213,110486,1485761,9931,51767,35373,486332,512311,432551,470261,319704,259993,132276,186007,1946359,84262,86499,90680,131860,106003,58424,54972,273445,2304,28344,40590,184929,468557,641119,549458,368500,241143,312168,5.6,4287203,2015680,2.59,2.44,2480090,223831,173872,162032,160742,152504,158098,129034,126572,114153,208516,238847,263725,146125,81008,71100,69931,42764.0,6456243,
43,Texas,2012,10154835,3323361,303869,5240726,11720,39054,185073,2254074,1562231,1766877,1737312,982152,868173,385678,413265,6627086,287092,190069,320040,488788,626790,368960,458313,773556,14141,171718,304937,1089920,1691983,2211840,1892785,1160565,738437,892650,5.3,16458059,9014845,2.95,2.66,8970959,700287,494482,492561,513558,475842,483907,447749,430086,377316,712729,881651,1041774,703999,399181,413623,402214,50740.0,26059203,
45,Utah,2012,996777,754905,18238,105231,1274,10977,15013,224095,185193,132997,177146,75489,73611,34328,78905,683098,61976,33641,46446,33710,43569,32137,24260,37126,814,11743,22047,66261,140499,159246,130194,120898,115210,230679,6.3,2021969,786910,3.24,2.89,895691,48682,36251,40500,44665,40432,43860,43565,45093,43838,81169,112151,126383,77649,43707,37406,30340,57049.0,2855287,
44,Vermont,2012,324052,41601,38497,12532,114708,46051,1711,35932,36594,52807,52513,27070,19783,9795,87847,216124,13060,19602,21305,16775,5559,5225,5603,20619,180,6451,11813,25802,47994,60023,59419,45057,30294,37199,5.7,442283,158399,2.41,2.11,258520,14710,15269,14479,12742,12458,13743,12479,13624,11717,23170,28826,35307,20687,11529,8966,8814,52977.0,626011,
46,Virginia,2012,3398389,1016029,136651,1604379,178393,85135,38633,535356,537210,581932,575112,388901,313921,163844,263480,2095844,376454,58126,93002,158139,196742,70649,167863,180554,1016,43009,58722,238164,505592,612747,573326,433516,371277,562036,5.9,5358902,2583429,2.67,2.51,3038967,183865,129742,136705,135428,131372,135726,132453,133961,117141,236440,306408,383179,271763,181399,207476,215909,61741.0,8185867,
47,Washington,2012,2914775,916691,81776,1433146,65724,114568,33531,498190,490587,410910,499952,295208,227726,150772,307899,1843062,105931,79080,106557,142726,147156,129284,149749,205437,5793,64342,107803,272101,477404,528208,486767,365095,267655,345400,5.5,4353054,2402547,2.65,2.42,2636817,173193,116010,114520,131058,120472,127927,120689,124163,115752,217803,285527,343259,236813,146181,139083,124367,57573.0,6897012,
48,West Virginia,2012,882800,305035,29530,323747,24468,47705,7777,97345,115176,115686,148697,85976,101317,67205,143621,622101,15630,20801,24877,26074,15512,11289,12486,133913,117,12476,13039,51559,142906,197709,182037,119878,78167,85029,5.6,1342252,463720,2.51,2.23,741544,79484,53915,55324,54678,44563,44550,36442,38134,32142,60372,69990,81985,40462,19875,15807,13821,40196.0,1855413,
49,Wisconsin,2012,2632625,1495819,245071,343453,68459,106058,19178,345775,371061,253742,388834,252347,298723,158932,544033,1753735,115789,171550,105340,130048,87920,97530,74859,95223,631,44996,64757,224666,428892,545350,471497,333370,238354,280743,5.5,3937556,1640534,2.56,2.19,2288362,143819,128479,125155,132266,123235,121737,118529,117306,106559,198701,256608,298829,184765,90886,74611,66877,51059.0,5726398,
50,Wyoming,2012,265207,134357,23326,50489,357,11887,3602,41368,31881,40455,57637,21870,25184,11706,31504,174371,11647,7378,12904,9812,6998,5715,2344,33458,580,4669,7129,18489,43378,52563,41194,33632,25291,38862,5.7,391118,171495,2.53,2.48,223513,11545,12717,11815,11286,10908,11614,10524,10766,10013,19503,23561,32828,20047,10858,10098,5430,54901.0,576412,
52,US,2012,134035686,56540601,5555590,43047707,6809878,2487589,1205089,20007464,18608998,18578009,21297948,14843600,14534042,7132408,17828128,82622230,7877456,5068844,5934535,6382178,5980701,4777807,6775100,8516318,100517,2600060,3379486,12338429,22533247,27683997,24189539,16294385,11230925,13785618,286.0,202523679,106990810,137.79999999999998,126.84,117233234,9251859,6693558,6496817,6633628,6022085,6166412,5630064,5593215,4902533,9273321,11708373,13823737,9143880,5249757,5355943,5288052,50482.0,317581124,
28,Alabama,2013,2190027,520001,121771,1149424,2884,19735,48199,362275,409258,327134,376102,250347,199996,99785,116931,1493751,34296,46704,65122,94365,73790,37791,44275,298333,1600,25913,25756,126190,322426,508116,460288,301279,191387,228672,5.7,3248599,1470091,2.62,2.52,1822439,188322,124246,116335,118343,105512,103982,94519,93512,79699,145128,175266,190585,121370,61634,57086,46900,42849.0,4833722,
29,Alaska,2013,307417,122315,3471,26064,74729,15670,5022,51631,46957,77647,71550,27658,15660,6170,5122,198267,21419,15460,22234,14552,7690,8615,4761,14201,218,17730,24046,39238,58661,53457,44996,27718,18973,22598,4.8,463578,244955,2.97,2.72,246015,8022,9127,8107,9896,7313,9387,10709,10306,8161,17874,28724,36870,26893,21224,18679,14723,72237.0,735132,
30,Arizona,2013,2892359,814584,66318,1430518,2702,48822,36237,751443,601718,526414,500794,212606,164262,49695,49190,1842597,132493,39791,100518,125163,152005,72424,111604,305748,10016,64829,107906,301484,517897,647686,522030,333723,197548,199256,5.2,3985536,2493464,2.67,2.74,2400809,188964,131175,133720,148606,132768,135691,124341,128380,105134,200115,241132,277077,177977,96145,95582,84002,48510.0,6626624,
31,Arkansas,2013,1329777,453891,79497,536242,1491,48006,30739,230550,254122,213155,251860,140122,89883,56057,63289,921306,21164,42112,43975,41428,46532,14536,25997,171218,1509,22241,22251,88338,223701,357570,274028,156378,89882,95388,5.4,1910657,967546,2.58,2.51,1125899,108099,82649,83652,77406,70680,70931,62916,59219,53339,92486,105041,109451,63871,32673,28617,24869,40511.0,2959373,
32,California,2013,13791262,8149303,414887,3379399,33220,204825,121157,1635062,1503055,2123198,2528047,1840172,1913196,844490,1282885,8009878,940512,348662,781475,863609,729142,680654,909553,513724,14053,426830,549838,1677976,2645475,2831007,2333634,1505214,895444,925844,5.1,20416004,17110343,3.0,2.93,12650592,787348,660911,613266,623813,574180,580199,535785,529795,485867,912734,1208211,1511289,1125929,702554,828664,970047,60190.0,38332521,
33,Colorado,2013,2247291,1407423,95660,432137,2089,41289,31792,425593,383707,337643,415438,216461,186345,63661,186651,1418724,156822,38628,74573,105575,128587,120193,109667,93105,1417,40252,86575,223494,343914,373453,325431,267038,212614,374520,5.7,3380652,1770315,2.62,2.49,2002800,119722,83141,89739,100427,101631,100137,88337,91619,83971,156867,207946,264469,179342,108252,118349,108851,58823.0,5268367,
36,Connecticut,2013,1488072,449787,46397,209463,585757,29361,11686,103239,112306,190017,197328,199976,243080,108911,321529,875291,82522,120596,136285,80851,54103,50376,74471,13116,461,30711,35460,128151,228046,280932,262470,191425,148590,182287,5.7,2408151,1069800,2.71,2.37,1339860,78797,53104,56633,62602,48624,56753,49601,51461,46856,99292,125844,168060,129500,87914,100483,124336,67098.0,3596080,
34,Delaware,2013,412015,138987,32922,110313,48095,3396,7615,79186,67007,66616,51400,45340,40141,18294,36416,240319,62014,6063,9848,16050,22666,6231,10939,37740,145,3627,4078,23276,46717,69747,81509,65529,49260,68272,6.2,654119,246426,2.69,2.57,339071,20918,13713,16188,14610,16745,17223,14605,15549,15875,28797,38167,43554,28307,18525,19799,16496,57846.0,925749,
35,District of Columbia,2013,302975,152581,2849,104674,6012,0,6080,28368,9982,13400,26121,36315,39270,35199,108240,35886,76005,10466,24143,21129,31918,22951,80477,0,0,18192,25049,66575,54266,36699,33573,22610,16932,29079,4.3,255514,350637,2.31,2.18,271651,29650,11905,10882,9240,8069,10681,8471,8852,7993,19176,21222,28275,24033,18141,22345,32716,67572.0,646449,
37,Florida,2013,9047973,318727,74420,6648779,13461,14787,117006,1859596,1535375,1943943,1658385,869222,663028,196709,204709,4881395,568308,202162,355460,460531,548259,523324,668905,827830,11799,157358,193659,941297,2008942,2123642,1607330,944737,551436,519572,5.1,12259776,6867204,2.62,2.7,7211584,593608,423408,427416,458363,420587,426891,393833,388487,317942,606350,703283,774887,489331,251324,253241,282633,46036.0,19552860,
38,Georgia,2013,4110162,1422155,185887,1879370,5872,36761,62486,952800,881986,699904,575245,374561,256615,120256,186309,2727053,145232,93885,123713,224620,196820,94911,128322,373277,2329,48571,49866,248502,590547,871252,793534,557212,399507,551171,5.8,6173223,3558243,2.78,2.69,3546965,325705,202120,204407,205235,191763,201025,177504,173940,146336,289927,339930,407155,257401,141185,144155,139177,47829.0,9992167,
40,Hawaii,2013,526305,9343,5536,125472,38,1728,9296,70632,77396,83263,123945,79541,46366,19117,16749,284436,40822,11064,22543,35049,28238,27946,75285,896,26,24316,46804,73032,102386,111350,73719,41765,25456,27477,4.6,797344,563428,3.15,2.86,450120,25727,15492,15600,20686,16768,17974,16497,19342,14231,34971,50031,60056,50267,30955,31969,29554,68020.0,1404054,
39,Idaho,2013,676192,296247,30365,196590,9764,46389,12395,152416,124667,70601,128650,47469,49591,27442,62961,500212,17648,17848,25835,17674,13644,13075,8944,60192,1120,11335,18889,44467,105450,134820,115945,83745,61040,100501,5.7,1098222,484498,2.69,2.69,588489,43379,31835,31009,35583,35720,37512,31775,35179,30866,52590,67105,71148,35534,18076,16646,14532,46783.0,1612136,
41,Illinois,2013,5289653,3757212,204784,734516,8689,25245,38808,581868,587470,470009,775783,637697,696082,334234,1167702,3095060,307241,302317,352164,340648,221537,189600,344322,135459,1305,119501,119563,429039,853057,1073793,961815,635952,472981,623952,5.6,8622905,3959751,2.73,2.43,4783421,368440,223964,238044,237280,228093,235686,214638,218103,188420,358570,495482,595442,409531,249604,253674,268450,56210.0,12882135,
42,Indiana,2013,2809640,1504232,176348,717335,21055,55561,42271,369702,417011,279144,396986,318488,312373,174878,498787,2032883,109392,70783,100046,129160,111522,57895,54017,143229,713,38037,42977,182186,408808,596079,552237,383489,261791,344036,5.7,4518699,1863609,2.64,2.37,2498395,198810,137869,143634,149936,144029,143998,132451,133545,119878,207977,267626,306804,179206,92777,73718,66137,47529.0,6570902,
43,Iowa,2013,1349607,775699,163459,249151,7228,20468,23276,155481,149856,100628,192041,146809,148598,73163,359755,997109,53166,33364,43122,47961,51623,49973,26254,46553,482,14968,27813,105440,190762,254328,228652,184083,139943,203618,5.9,2202642,787674,2.52,2.18,1236209,79286,63335,61066,68450,61757,70993,64753,65275,53236,108299,138839,164665,99935,53519,43696,39105,52229.0,3090416,
44,Kansas,2013,1239755,735134,87427,259854,1884,20096,14581,151487,158780,143799,189255,133386,163537,75528,209402,895869,58523,28910,39409,46932,47047,33882,25061,63556,566,25230,24912,84948,173601,230270,214975,165004,132264,188551,5.9,1933886,880967,2.63,2.33,1113729,78250,56162,53992,66093,62381,62898,55714,58957,50916,94349,117723,138005,88401,45399,45379,39110,50972.0,2893957,
45,Kentucky,2013,1936634,645906,108051,868659,15839,51434,33339,299877,332953,248909,322174,216649,183232,92055,207446,1311039,51400,59051,75367,92962,63079,29409,27337,225769,1221,26088,33280,130223,314274,446632,369034,239558,163863,213682,5.5,2949043,1320113,2.57,2.37,1705623,171529,117906,112081,105732,95891,95693,85833,91024,77045,140310,169068,183979,111418,57961,44237,45916,43399.0,4395295,
46,Louisiana,2013,1990967,603059,37860,1068524,804,9805,49383,319057,260218,303740,365030,263077,201074,92825,136563,1295622,57311,83264,82891,64688,56182,43198,39444,265488,2879,27801,35240,157407,340012,498451,388128,245996,147409,150523,5.4,3029896,1467217,2.66,2.49,1728149,184282,117619,114382,109836,92408,92078,82806,80780,65652,129021,156407,186847,124996,66464,62572,61999,44164.0,4625470,
47,Maine,2013,723140,31836,45601,28747,351842,76707,7520,91122,87931,105623,104594,53545,52478,35714,184613,505095,15151,35791,40558,26244,13826,13767,10053,62362,293,19789,27079,73794,129189,143499,127910,82402,54796,64682,5.3,946298,346402,2.46,2.12,547686,40885,35229,33933,32824,33900,31801,27058,26714,25959,46942,56826,65747,38067,17358,17905,16538,46974.0,1328302,
48,Maryland,2013,2404177,955665,67436,865922,214092,33464,32938,295293,349782,378433,343749,280216,293889,131309,298568,1233806,516511,38481,52097,118376,207028,52962,146661,37692,563,28509,41355,186767,301699,350227,415888,337231,269767,472734,6.2,3977420,1810435,2.77,2.5,2161680,120858,71689,70517,81289,73393,84503,72161,81222,77637,158704,218084,293822,228555,158176,179258,191812,72483.0,5928814,
49,Massachusetts,2013,2813641,1265878,81306,371400,740917,47009,25106,214422,215847,304993,321435,289714,328067,167473,946584,1459702,146184,288718,318130,164460,116869,124079,172132,23209,158,62174,90002,275995,444392,523346,503556,335426,258519,320231,5.5,4222488,2223576,2.71,2.28,2536321,165788,124757,113708,109699,94055,108041,89255,89930,83682,175435,236749,321240,247617,169059,197886,209420,66768.0,6692824,
50,Michigan,2013,4525266,2931318,319698,341965,47991,132347,25749,459850,584313,450020,709351,552588,684911,357459,701025,3254100,218340,111734,112561,189561,166915,90774,134127,245738,1416,55581,83120,327904,651522,940956,903499,611729,412055,538900,5.7,7017528,2651632,2.6,2.35,3832466,324299,216432,221625,219993,211674,216269,194790,190712,177113,311418,396107,450231,279024,155584,142729,124466,48273.0,9895622,
51,Minnesota,2013,2368754,1399587,220587,356763,49863,53776,27058,340949,325873,311284,368034,227859,245430,119621,402646,1595388,175420,55913,49184,54136,79515,118374,157427,82810,587,36391,68359,219177,327610,367842,346720,302063,261855,438737,6.0,3949732,1335148,2.6,2.21,2119954,119711,90687,96380,102628,94536,95437,92684,93704,86702,173354,234127,299162,205685,118830,113014,103313,60702.0,5420380,
0,Mississippi,2013,1283192,338085,128930,602503,1319,14648,24576,229366,236151,191911,240845,155969,93107,49377,61890,888554,17346,29227,42412,60523,32431,12336,14190,185277,896,14088,21027,82735,211773,336179,272200,156548,88941,99701,5.4,1937247,959500,2.64,2.68,1091002,130814,93827,79283,71589,69462,61563,55088,54598,47554,89865,98755,102334,59797,28219,27471,20783,37963.0,2991207,
1,Missouri,2013,2719109,1205979,218963,822051,4664,95809,37141,380460,391518,327897,447340,321830,288062,148523,376338,1904652,90037,94799,126788,102196,97852,54420,67368,179048,1949,38301,50735,198961,422522,609318,499607,348468,245405,305792,5.6,4080287,1789346,2.58,2.29,2362853,190739,142671,136825,145425,130406,137998,124884,127904,103279,206318,245297,268478,162277,85609,83727,71016,46931.0,6044171,
2,Montana,2013,485767,217689,49009,89434,4126,37525,7626,80357,67685,53740,88690,43784,45894,25068,72923,335828,13107,18163,23318,13709,10587,10286,8291,51893,585,14831,17913,41051,86556,94159,72308,52984,45282,60683,5.4,672880,313488,2.48,2.33,406288,31743,26612,23449,27461,21685,24538,18534,21642,18217,34893,45065,44491,30157,13357,11804,12640,46972.0,1015165,
3,Nebraska,2013,806888,453769,57576,199699,2188,9928,15399,100887,93328,76753,132114,91700,82236,37437,177034,587567,29739,14935,19843,33213,37690,29268,24541,29912,180,13316,20911,60484,111392,139227,132665,101640,86476,140777,5.9,1263751,553329,2.62,2.23,730579,44429,38358,36276,43163,38839,39576,36719,37884,37146,65659,81846,90962,58694,30736,25325,24967,51440.0,1868516,
4,Nevada,2013,1186936,621978,27742,323768,6665,13813,22885,367611,307062,188099,164558,70920,38153,11962,15686,706859,49011,14081,74973,110480,70464,32098,63785,63762,1423,30784,43467,131869,219282,254711,208271,138331,80828,79393,5.2,1487765,1266056,2.73,2.76,1002571,69318,48733,52674,55964,55843,54584,51367,54413,44410,91398,111804,118173,76672,45937,38943,32338,51230.0,2790136,
5,New Hampshire,2013,616496,101529,76485,42038,239542,44711,6742,75642,64964,124382,93622,57175,44981,22191,126797,387464,31365,36766,36298,29602,17951,27734,12069,37210,37,12222,14932,54298,104556,120968,106562,76683,55638,70637,5.5,938290,344298,2.58,2.22,519246,25077,20775,20625,24073,21491,21336,21810,24247,21360,39936,60277,73795,53239,32015,31634,27556,64230.0,1323459,
6,New Jersey,2013,3578260,2354824,60943,388226,329733,17421,33166,341119,328243,444977,465786,484829,556155,287586,636399,1903693,334704,352638,227475,178343,183097,136035,227980,33262,1033,77348,76775,368260,559567,612817,572176,455152,363588,492577,5.7,5801897,2910820,2.85,2.55,3176139,180114,130770,133740,133486,118900,122819,121039,113705,110435,219594,294342,398273,315824,214840,260456,307802,70165.0,8899339,
7,New Mexico,2013,905134,503091,61554,127124,1230,49712,13982,150225,156335,155016,165386,92531,89379,37748,44532,585831,37483,16837,31160,23151,24426,16237,18587,150310,1112,23762,20634,68721,152803,223642,189414,104738,61905,59515,5.3,1407582,634582,2.75,2.62,753507,76050,51075,48807,50889,40587,41648,35638,39159,31426,57584,72815,82342,49325,27329,27462,21371,43872.0,2085287,
8,New York,2013,8126399,4074510,259367,764400,1802442,148422,71872,540780,488798,614939,819541,1014574,1230562,687406,2657927,3394447,409804,856443,606783,420567,334514,648864,1255638,195340,3999,313312,312844,1235120,1497175,1359948,1223811,826536,606065,751588,5.0,10774490,8292826,2.78,2.48,7219356,583048,380615,365961,354461,325781,337071,300144,299478,255237,516107,665568,846671,625871,386985,446677,529681,57369.0,19651127,
9,North Carolina,2013,4394515,922927,280693,2308910,137984,84384,93998,913790,906327,702664,632375,418040,329615,167941,229765,2868596,173952,90676,120498,207720,174903,98030,70724,587538,1878,54325,71010,296656,760558,1032512,816518,545296,355060,462580,5.5,6244990,3349076,2.59,2.49,3757480,314399,229511,229997,233142,224019,222034,198246,192135,174411,314485,363952,415835,248263,128655,134823,133573,45906.0,9848060,
10,North Dakota,2013,339293,123757,39927,114846,10163,1695,13898,46253,38300,37427,67757,33448,33704,15447,53059,204110,19484,7864,14439,11983,18135,24444,11820,26904,110,5799,8276,32640,55802,61629,47331,37851,31364,58601,5.6,487740,208700,2.52,1.99,298298,20189,14362,11768,16158,15376,16175,12942,15791,11841,23246,30574,43860,26449,13610,13479,12478,55759.0,723393,
11,Ohio,2013,5124126,3021993,236293,1049033,110043,91040,49236,511068,604537,468255,723090,625160,737732,324829,1080219,3513659,229519,226509,227596,256854,207997,104026,161032,195487,1447,65156,77576,353580,703487,1007350,1031488,733666,514260,637563,5.8,7706680,3551753,2.56,2.29,4564745,384453,257856,263374,274745,251421,259312,230926,228161,202971,372305,465106,535749,333254,185745,168572,150795,48081.0,11570808,
12,Oklahoma,2013,1682358,768448,103324,530472,1239,29239,40895,238198,200906,251173,336660,196695,178536,100580,138715,1217022,33915,39807,44500,60454,61523,29972,30202,162730,2233,24111,30886,125346,279017,425435,350411,210601,119216,117335,5.4,2491322,1249443,2.63,2.51,1447277,118598,88500,87261,90068,82858,88191,81102,77181,65388,119385,154203,160497,99721,49335,43691,41298,45690.0,3850568,
13,Oregon,2013,1684107,572046,26827,761368,37636,106592,23436,251794,292137,181894,332934,168676,142775,92870,197591,1070790,72326,49360,78137,71173,61325,52215,81960,141457,5364,39371,58392,151634,301388,349372,285876,200685,127788,169601,5.3,2375456,1466922,2.56,2.46,1523799,115720,83647,83942,88322,81921,83932,77306,74584,68733,119206,162706,188849,119262,64925,56854,53890,50251.0,3930065,
14,Pennsylvania,2013,5565354,2516052,195799,1086074,870064,148597,49562,467345,535541,534052,709071,578451,764698,460931,1465703,3171116,1028005,262431,233730,186491,139895,112690,201837,227463,1696,97231,96806,406310,678939,908985,1212202,817052,590579,757250,6.0,8890369,3453071,2.61,2.25,4938894,355885,271582,273257,266710,253644,262475,234884,232906,209477,407465,502764,603286,395525,227386,223993,217655,52007.0,12773801,
