,state,fips code,county,sector,pollutant desc,pollutant type(s),total emissions,emissions uom
946256,AR,5127,Scott,Fuel Comb - Residential - Natural Gas,Ammonia,CAP,0.4755861,TON
947763,AR,5019,Clark,Fuel Comb - Residential - Other,Volatile Organic Compounds,CAP,0.06911667,TON
948801,AR,5071,Johnson,Fuel Comb - Residential - Wood,Carbon Monoxide,CAP,573.60766827,TON
950100,AR,5103,Ouachita,Fuel Comb - Residential - Other,Carbon Monoxide,CAP,0.6891345999999999,TON
952933,AR,5139,Union,Fuel Comb - Residential - Wood,Volatile Organic Compounds,CAP,108.74925799100001,TON
953983,AR,5017,Chicot,Commercial Cooking,Carbon Monoxide,CAP,0.97120994,TON
954397,AR,5119,Pulaski,Fuel Comb - Comm/Institutional - Coal,Ammonia,CAP,0.0,TON
955974,AR,5115,Pope,Fuel Comb - Residential - Natural Gas,Sulfur Dioxide,CAP,0.1146894,TON
956804,AR,5031,Craighead,Fuel Comb - Comm/Institutional - Natural Gas,Carbon Monoxide,CAP,84.07266,TON
957219,AR,5099,Nevada,Fuel Comb - Comm/Institutional - Natural Gas,PM2.5 Primary (Filt + Cond),CAP,0.01728799,TON
959109,AR,5089,Marion,Fuel Comb - Comm/Institutional - Biomass,Nitrogen Oxides,CAP,0.2840798,TON
959319,AR,5083,Logan,Fuel Comb - Residential - Other,Volatile Organic Compounds,CAP,0.05981692,TON
960619,AR,5065,Izard,Fuel Comb - Residential - Natural Gas,PM2.5 Primary (Filt + Cond),CAP,0.006833121,TON
962192,AR,5105,Perry,Fuel Comb - Comm/Institutional - Biomass,Nitrogen Oxides,CAP,0.12995910000000002,TON
962632,AR,5049,Fulton,Fuel Comb - Comm/Institutional - Oil,Carbon Monoxide,CAP,0.0001612663,TON
962909,AR,5067,Jackson,Fuel Comb - Comm/Institutional - Natural Gas,Volatile Organic Compounds,CAP,0.43146090000000004,TON
963321,AR,5111,Poinsett,Fuel Comb - Residential - Natural Gas,Nitrogen Oxides,CAP,10.681939999999999,TON
965377,AR,5011,Bradley,Fuel Comb - Comm/Institutional - Natural Gas,Nitrogen Oxides,CAP,4.835562,TON
965836,AR,5141,Van Buren,Fuel Comb - Residential - Natural Gas,Carbon Monoxide,CAP,0.9328804,TON
966353,AR,5077,Lee,Fuel Comb - Comm/Institutional - Oil,Nitrogen Oxides,CAP,0.0004279742,TON
967252,AR,5025,Cleveland,Fuel Comb - Residential - Wood,Ammonia,CAP,1.6402160522999998,TON
967253,AR,5025,Cleveland,Fuel Comb - Residential - Wood,Carbon Monoxide,CAP,217.04608662,TON
967391,AR,5041,Desha,Fuel Comb - Comm/Institutional - Oil,Carbon Monoxide,CAP,0.0003259803,TON
969149,AR,5009,Boone,Fuel Comb - Comm/Institutional - Oil,Nitrogen Oxides,CAP,0.005076112,TON
969383,AR,5013,Calhoun,Fuel Comb - Comm/Institutional - Natural Gas,Ammonia,CAP,0.00895807,TON
969687,AR,5109,Pike,Fuel Comb - Comm/Institutional - Oil,Volatile Organic Compounds,CAP,1.3629839999999999e-05,TON
971135,AR,5113,Polk,Fuel Comb - Comm/Institutional - Biomass,Sulfur Dioxide,CAP,0.07799196,TON
971757,AR,5037,Cross,Fuel Comb - Residential - Natural Gas,Sulfur Dioxide,CAP,0.02927255,TON
971831,AR,5069,Jefferson,Fuel Comb - Comm/Institutional - Oil,Ammonia,CAP,0.00030644330000000004,TON
975890,AR,5025,Cleveland,Fuel Comb - Comm/Institutional - Coal,Volatile Organic Compounds,CAP,0.0,TON
978891,AR,5019,Clark,Fuel Comb - Comm/Institutional - Oil,Volatile Organic Compounds,CAP,4.887895000000001e-05,TON
981208,AR,5029,Conway,Fuel Comb - Comm/Institutional - Biomass,PM10 Primary (Filt + Cond),CAP,1.583167,TON
981367,AR,5143,Washington,Fuel Comb - Comm/Institutional - Oil,Ammonia,CAP,0.001462265,TON
982109,AR,5033,Crawford,Fuel Comb - Residential - Oil,Sulfur Dioxide,CAP,0.05335293098999999,TON
