,state,fips code,county,sector,pollutant desc,pollutant type(s),total emissions,emissions uom
516549,WY,56023,Lincoln,Commercial Cooking,PM10 Primary (Filt + Cond),CAP,3.78345705,TON
535857,WY,56043,Washakie,Fuel Comb - Residential - Other,Sulfur Dioxide,CAP,0.01260172,TON
537909,WY,56009,Converse,Commercial Cooking,PM10 Primary (Filt + Cond),CAP,3.87005826,TON
549251,WY,56033,Sheridan,Fuel Comb - Residential - Oil,PM2.5 Primary (Filt + Cond),CAP,0.00852,TON
552726,WY,56035,Sublette,Fuel Comb - Comm/Institutional - Coal,Carbon Monoxide,CAP,0.282,TON
553319,WY,56015,Goshen,Fuel Comb - Residential - Other,Volatile Organic Compounds,CAP,0.31996420000000003,TON
564733,WY,56007,Carbon,Fuel Comb - Residential - Oil,Volatile Organic Compounds,CAP,0.0,TON
565785,WY,56033,Sheridan,Fuel Comb - Residential - Wood,Ammonia,CAP,1.8369277005000002,TON
569364,WY,56005,Campbell,Fuel Comb - Residential - Oil,Carbon Monoxide,CAP,0.0,TON
571929,WY,56029,Park,Fuel Comb - Residential - Natural Gas,PM2.5 Primary (Filt + Cond),CAP,0.15014170000000002,TON
574050,WY,56015,Goshen,Fuel Comb - Residential - Oil,PM2.5 Primary (Filt + Cond),CAP,0.02190857,TON
577927,WY,56005,Campbell,Fuel Comb - Comm/Institutional - Natural Gas,Ammonia,CAP,0.005628800000000001,TON
577928,WY,56005,Campbell,Fuel Comb - Comm/Institutional - Natural Gas,PM10 Primary (Filt + Cond),CAP,0.0133681,TON
580744,WY,56025,Natrona,Fuel Comb - Residential - Wood,PM2.5 Primary (Filt + Cond),CAP,58.17021414,TON
581079,WY,56027,Niobrara,Fuel Comb - Residential - Other,Volatile Organic Compounds,CAP,0.08274935,TON
587839,WY,56039,Teton,Fuel Comb - Residential - Wood,Ammonia,CAP,2.344270294,TON
596351,WY,56041,Uinta,Fuel Comb - Comm/Institutional - Natural Gas,Nitrogen Oxides,CAP,0.32205,TON
600094,WY,56039,Teton,Commercial Cooking,PM10 Primary (Filt + Cond),CAP,19.067294399999998,TON
600235,WY,56027,Niobrara,Fuel Comb - Residential - Other,Carbon Monoxide,CAP,0.6027748,TON
606883,WY,56033,Sheridan,Fuel Comb - Residential - Oil,Carbon Monoxide,CAP,0.02,TON
614397,WY,56031,Platte,Fuel Comb - Residential - Other,Nitrogen Oxides,CAP,6.526764,TON
623387,WY,56017,Hot Springs,Fuel Comb - Residential - Other,Ammonia,CAP,0.006989273000000001,TON
634831,WY,56019,Johnson,Fuel Comb - Residential - Natural Gas,PM10 Primary (Filt + Cond),CAP,0.04815444,TON
646159,WY,56003,Big Horn,Commercial Cooking,PM2.5 Primary (Filt + Cond),CAP,3.08435673,TON
647054,WY,56001,Albany,Fuel Comb - Residential - Natural Gas,Sulfur Dioxide,CAP,0.2605321,TON
649036,WY,56027,Niobrara,Fuel Comb - Residential - Natural Gas,Ammonia,CAP,0.4123803,TON
653977,WY,56015,Goshen,Fuel Comb - Residential - Natural Gas,Ammonia,CAP,2.79261,TON
658487,WY,56029,Park,Fuel Comb - Comm/Institutional - Natural Gas,Nitrogen Oxides,CAP,0.25986,TON
660103,WY,56015,Goshen,Fuel Comb - Residential - Wood,Sulfur Dioxide,CAP,0.3879482179,TON
668664,WY,56035,Sublette,Fuel Comb - Comm/Institutional - Coal,Nitrogen Oxides,CAP,0.1757,TON
668665,WY,56035,Sublette,Fuel Comb - Comm/Institutional - Coal,Volatile Organic Compounds,CAP,0.026000000000000002,TON
673125,WY,56041,Uinta,Fuel Comb - Residential - Oil,Nitrogen Oxides,CAP,0.0,TON
673654,WY,56019,Johnson,Fuel Comb - Residential - Natural Gas,PM2.5 Primary (Filt + Cond),CAP,0.03982002,TON
681442,WY,56001,Albany,Fuel Comb - Residential - Other,Volatile Organic Compounds,CAP,0.2949771,TON
687926,WY,56027,Niobrara,Fuel Comb - Residential - Natural Gas,Nitrogen Oxides,CAP,1.9381869999999999,TON
692459,WY,56041,Uinta,Fuel Comb - Residential - Oil,PM10 Primary (Filt + Cond),CAP,0.0,TON
710719,WY,56037,Sweetwater,Fuel Comb - Residential - Natural Gas,PM2.5 Primary (Filt + Cond),CAP,0.26901840000000005,TON
712213,WY,56015,Goshen,Fuel Comb - Residential - Natural Gas,Carbon Monoxide,CAP,5.58522,TON
726448,WY,56009,Converse,Fuel Comb - Residential - Oil,Carbon Monoxide,CAP,0.22,TON
728911,WY,56043,Washakie,Fuel Comb - Residential - Other,Nitrogen Oxides,CAP,2.967468,TON
729298,WY,56025,Natrona,Fuel Comb - Comm/Institutional - Natural Gas,PM10 Primary (Filt + Cond),CAP,1.30998,TON
736632,WY,56045,Weston,Fuel Comb - Residential - Wood,Volatile Organic Compounds,CAP,11.742368138,TON
755680,WY,56045,Weston,Fuel Comb - Residential - Wood,Sulfur Dioxide,CAP,0.3027625493,TON
755710,WY,56017,Hot Springs,Commercial Cooking,Volatile Organic Compounds,CAP,0.290209471,TON
758860,WY,56033,Sheridan,Fuel Comb - Residential - Wood,Sulfur Dioxide,CAP,1.052298409,TON
769928,WY,56015,Goshen,Fuel Comb - Residential - Natural Gas,Volatile Organic Compounds,CAP,0.7679678000000001,TON
771347,WY,56007,Carbon,Fuel Comb - Residential - Natural Gas,Nitrogen Oxides,CAP,15.220720000000002,TON
774954,WY,56027,Niobrara,Fuel Comb - Residential - Wood,Ammonia,CAP,0.20623231190000002,TON
778788,WY,56037,Sweetwater,Fuel Comb - Residential - Wood,Nitrogen Oxides,CAP,3.9262110110000004,TON
780907,WY,56005,Campbell,Fuel Comb - Comm/Institutional - Other,PM2.5 Primary (Filt + Cond),CAP,0.39315500000000003,TON
790585,WY,56021,Laramie,Fuel Comb - Residential - Other,PM2.5 Primary (Filt + Cond),CAP,0.05918843,TON
791063,WY,56039,Teton,Fuel Comb - Residential - Natural Gas,Carbon Monoxide,CAP,2.65515,TON
794385,WY,56007,Carbon,Fuel Comb - Residential - Wood,Volatile Organic Compounds,CAP,21.834489971,TON
801362,WY,56031,Platte,Fuel Comb - Residential - Natural Gas,PM10 Primary (Filt + Cond),CAP,0.04519181,TON
810221,WY,56035,Sublette,Fuel Comb - Comm/Institutional - Oil,PM2.5 Primary (Filt + Cond),CAP,0.0,TON
818934,WY,56025,Natrona,Fuel Comb - Comm/Institutional - Oil,Sulfur Dioxide,CAP,0.133198,TON
