,state,fips code,county,sector,pollutant desc,pollutant type(s),total emissions,emissions uom
1174235,NY,36033,Franklin,Fuel Comb - Residential - Natural Gas,PM2.5 Primary (Filt + Cond),CAP,0.5508270000000001,TON
1175390,NY,36003,Allegany,Fuel Comb - Comm/Institutional - Biomass,PM10 Primary (Filt + Cond),CAP,0.8627778,TON
1176225,NY,36053,Madison,Fuel Comb - Residential - Natural Gas,PM2.5 Primary (Filt + Cond),CAP,4.7665745,TON
1176343,NY,36011,Cayuga,Fuel Comb - Comm/Institutional - Other,Carbon Monoxide,CAP,0.6741305999999999,TON
1177787,NY,36087,Rockland,Fuel Comb - Comm/Institutional - Biomass,Nitrogen Oxides,CAP,3.983061,TON
1178046,NY,36099,Seneca,Fuel Comb - Comm/Institutional - Coal,Ammonia,CAP,0.0,TON
1179990,NY,36059,Nassau,Fuel Comb - Comm/Institutional - Natural Gas,PM2.5 Primary (Filt + Cond),CAP,6.04928105,TON
1182870,NY,36043,Herkimer,Fuel Comb - Residential - Wood,Sulfur Dioxide,CAP,4.6075839180000004,TON
1183668,NY,36117,Wayne,Fuel Comb - Residential - Oil,PM2.5 Primary (Filt + Cond),CAP,1.766321545,TON
1184102,NY,36101,Steuben,Fuel Comb - Residential - Wood,Ammonia,CAP,7.956038349,TON
1185221,NY,36007,Broome,Fuel Comb - Residential - Natural Gas,Ammonia,CAP,9.599805,TON
1188212,NY,36067,Onondaga,Commercial Cooking,Carbon Monoxide,CAP,73.15448,TON
1188641,NY,36045,Jefferson,Fuel Comb - Residential - Natural Gas,Volatile Organic Compounds,CAP,5.629569999999999,TON
1188968,NY,36025,Delaware,Fuel Comb - Residential - Oil,Nitrogen Oxides,CAP,43.0346755,TON
1189318,NY,36113,Warren,Fuel Comb - Comm/Institutional - Coal,Nitrogen Oxides,CAP,0.0,TON
1190110,NY,36055,Monroe,Fuel Comb - Residential - Other,Nitrogen Oxides,CAP,34.085184999999996,TON
1193014,NY,36109,Tompkins,Fuel Comb - Comm/Institutional - Coal,Sulfur Dioxide,CAP,0.0,TON
1193036,NY,36033,Franklin,Fuel Comb - Comm/Institutional - Natural Gas,PM2.5 Primary (Filt + Cond),CAP,0.07878702,TON
1194520,NY,36111,Ulster,Fuel Comb - Comm/Institutional - Biomass,Sulfur Dioxide,CAP,0.19134,TON
1198567,NY,36039,Greene,Fuel Comb - Comm/Institutional - Natural Gas,Ammonia,CAP,0.08356352,TON
1199028,NY,36041,Hamilton,Fuel Comb - Residential - Wood,Sulfur Dioxide,CAP,0.49679907799999995,TON
1199268,NY,36053,Madison,Commercial Cooking,Volatile Organic Compounds,CAP,2.35941774,TON
1200294,NY,36109,Tompkins,Fuel Comb - Comm/Institutional - Natural Gas,PM10 Primary (Filt + Cond),CAP,4.911511,TON
1200852,NY,36031,Essex,Fuel Comb - Residential - Wood,Carbon Monoxide,CAP,935.9220478,TON
1202528,NY,36105,Sullivan,Fuel Comb - Residential - Wood,Ammonia,CAP,9.229519632999999,TON
