,state,fips code,county,sector,pollutant desc,pollutant type(s),total emissions,emissions uom
3839164,CA,6109,Tuolumne,Fuel Comb - Comm/Institutional - Other,Sulfur Dioxide,CAP,0.0,TON
3839586,CA,6025,Imperial,Fuel Comb - Residential - Other,Carbon Monoxide,CAP,0.6947800000000001,TON
3840073,CA,6111,Ventura,Fuel Comb - Comm/Institutional - Coal,Sulfur Dioxide,CAP,0.0,TON
3842603,CA,6083,Santa Barbara,Fuel Comb - Comm/Institutional - Oil,Nitrogen Oxides,CAP,272.563830443,TON
3845321,CA,6013,Contra Costa,Fuel Comb - Residential - Wood,Carbon Monoxide,CAP,5811.8147806,TON
3847173,CA,6089,Shasta,Fuel Comb - Residential - Wood,Nitrogen Oxides,CAP,50.69341889,TON
3849803,CA,6105,Trinity,Fuel Comb - Comm/Institutional - Coal,Volatile Organic Compounds,CAP,0.0,TON
3850730,CA,6053,Monterey,Fuel Comb - Residential - Wood,PM10 Primary (Filt + Cond),CAP,383.23239897,TON
3851494,CA,6025,Imperial,Fuel Comb - Comm/Institutional - Oil,Nitrogen Oxides,CAP,30.167609999999996,TON
3851647,CA,6015,Del Norte,Fuel Comb - Residential - Other,PM2.5 Primary (Filt + Cond),CAP,0.09490312,TON
3851799,CA,6023,Humboldt,Fuel Comb - Residential - Other,Carbon Monoxide,CAP,2.100078,TON
3852889,CA,6071,San Bernardino,Fuel Comb - Residential - Oil,Nitrogen Oxides,CAP,4.5816483,TON
3856874,CA,6101,Sutter,Fuel Comb - Residential - Natural Gas,Sulfur Dioxide,CAP,0.30587559999999997,TON
3857178,CA,6113,Yolo,Fuel Comb - Residential - Oil,Carbon Monoxide,CAP,0.23476632,TON
3858172,CA,6073,San Diego,Fuel Comb - Residential - Other,PM2.5 Primary (Filt + Cond),CAP,2.222651,TON
3858213,CA,6049,Modoc,Fuel Comb - Comm/Institutional - Oil,Nitrogen Oxides,CAP,27.06307,TON
3858258,CA,6019,Fresno,Fuel Comb - Comm/Institutional - Coal,Sulfur Dioxide,CAP,0.0,TON
3860093,CA,6077,San Joaquin,Fuel Comb - Residential - Other,PM10 Primary (Filt + Cond),CAP,0.5671388,TON
