,state,fips code,county,sector,pollutant desc,pollutant type(s),total emissions,emissions uom
94027,NC,37077,Granville,Fuel Comb - Residential - Other,Sulfur Dioxide,CAP,0.05076971,TON
95079,NC,37101,Johnston,Fuel Comb - Residential - Natural Gas,PM10 Primary (Filt + Cond),CAP,0.1052771,TON
95528,NC,37127,Nash,Fuel Comb - Comm/Institutional - Biomass,Sulfur Dioxide,CAP,0.0,TON
95807,NC,37089,Henderson,Fuel Comb - Comm/Institutional - Coal,Volatile Organic Compounds,CAP,0.0,TON
96882,NC,37191,Wayne,Fuel Comb - Residential - Other,Sulfur Dioxide,CAP,0.1196914,TON
97001,NC,37011,Avery,Fuel Comb - Residential - Wood,PM2.5 Primary (Filt + Cond),CAP,33.395804747,TON
97233,NC,37063,Durham,Fuel Comb - Comm/Institutional - Natural Gas,PM2.5 Primary (Filt + Cond),CAP,1.8915592,TON
97808,NC,37185,Warren,Fuel Comb - Residential - Oil,PM10 Primary (Filt + Cond),CAP,0.31241381,TON
100869,NC,37003,Alexander,Fuel Comb - Comm/Institutional - Other,Volatile Organic Compounds,CAP,0.02014993,TON
108177,NC,37149,Polk,Fuel Comb - Comm/Institutional - Oil,Carbon Monoxide,CAP,0.0016124929999999998,TON
108393,NC,37063,Durham,Fuel Comb - Comm/Institutional - Coal,PM10 Primary (Filt + Cond),CAP,0.0,TON
109456,NC,37075,Graham,Fuel Comb - Comm/Institutional - Biomass,Nitrogen Oxides,CAP,0.0,TON
109724,NC,37133,Onslow,Fuel Comb - Comm/Institutional - Biomass,Sulfur Dioxide,CAP,0.0,TON
110129,NC,37153,Richmond,Commercial Cooking,Carbon Monoxide,CAP,6.0978680999999995,TON
110410,NC,37169,Stokes,Fuel Comb - Comm/Institutional - Natural Gas,Sulfur Dioxide,CAP,0.01636188,TON
110660,NC,37059,Davie,Fuel Comb - Residential - Oil,Volatile Organic Compounds,CAP,0.1891929,TON
111638,NC,37051,Cumberland,Fuel Comb - Comm/Institutional - Biomass,PM10 Primary (Filt + Cond),CAP,0.0,TON
112130,NC,37085,Harnett,Fuel Comb - Residential - Natural Gas,Sulfur Dioxide,CAP,0.07074689,TON
112457,NC,37039,Cherokee,Fuel Comb - Comm/Institutional - Biomass,Ammonia,CAP,0.0,TON
112783,NC,37021,Buncombe,Fuel Comb - Residential - Other,PM10 Primary (Filt + Cond),CAP,0.07286396,TON
113011,NC,37045,Cleveland,Fuel Comb - Comm/Institutional - Other,PM10 Primary (Filt + Cond),CAP,0.0114145,TON
113539,NC,37171,Surry,Fuel Comb - Residential - Natural Gas,Volatile Organic Compounds,CAP,0.12414990000000001,TON
113600,NC,37103,Jones,Fuel Comb - Comm/Institutional - Biomass,PM10 Primary (Filt + Cond),CAP,0.0,TON
113986,NC,37005,Alleghany,Fuel Comb - Residential - Oil,Carbon Monoxide,CAP,1.5012143,TON
114252,NC,37153,Richmond,Fuel Comb - Comm/Institutional - Biomass,PM2.5 Primary (Filt + Cond),CAP,0.0,TON
115093,NC,37147,Pitt,Fuel Comb - Comm/Institutional - Oil,PM10 Primary (Filt + Cond),CAP,0.84308663,TON
115775,NC,37133,Onslow,Fuel Comb - Comm/Institutional - Oil,PM10 Primary (Filt + Cond),CAP,0.18746189100000002,TON
115803,NC,37059,Davie,Fuel Comb - Residential - Wood,Volatile Organic Compounds,CAP,65.18462327399999,TON
116073,NC,37083,Halifax,Fuel Comb - Residential - Wood,Sulfur Dioxide,CAP,1.4680807561000002,TON
116133,NC,37187,Washington,Fuel Comb - Residential - Wood,Carbon Monoxide,CAP,92.00523764,TON
117636,NC,37029,Camden,Fuel Comb - Comm/Institutional - Coal,Ammonia,CAP,0.0,TON
117723,NC,37023,Burke,Commercial Cooking,PM2.5 Primary (Filt + Cond),CAP,24.330545800000003,TON
117982,NC,37027,Caldwell,Fuel Comb - Residential - Wood,Sulfur Dioxide,CAP,3.174070876,TON
119787,NC,37037,Chatham,Fuel Comb - Residential - Other,Carbon Monoxide,CAP,5.105799,TON
120102,NC,37075,Graham,Fuel Comb - Residential - Wood,Carbon Monoxide,CAP,174.62029784,TON
122279,NC,37029,Camden,Fuel Comb - Comm/Institutional - Other,PM10 Primary (Filt + Cond),CAP,0.0002556872,TON
123068,NC,37027,Caldwell,Fuel Comb - Residential - Other,Ammonia,CAP,0.02611595,TON
123888,NC,37057,Davidson,Fuel Comb - Residential - Wood,PM2.5 Primary (Filt + Cond),CAP,178.01423262,TON
125041,NC,37103,Jones,Fuel Comb - Residential - Wood,Ammonia,CAP,0.8616827558,TON
126138,NC,37021,Buncombe,Fuel Comb - Residential - Oil,Nitrogen Oxides,CAP,49.957381,TON
127968,NC,37027,Caldwell,Fuel Comb - Comm/Institutional - Oil,Sulfur Dioxide,CAP,0.0,TON
128434,NC,37085,Harnett,Fuel Comb - Comm/Institutional - Other,Carbon Monoxide,CAP,1.42699,TON
130577,NC,37191,Wayne,Fuel Comb - Comm/Institutional - Biomass,Ammonia,CAP,0.0,TON
131203,NC,37105,Lee,Fuel Comb - Residential - Oil,Volatile Organic Compounds,CAP,0.052437447000000005,TON
132182,NC,37007,Anson,Fuel Comb - Comm/Institutional - Other,PM2.5 Primary (Filt + Cond),CAP,0.001293766,TON
132893,NC,37165,Scotland,Fuel Comb - Residential - Oil,Volatile Organic Compounds,CAP,0.053308499,TON
132938,NC,37141,Pender,Fuel Comb - Comm/Institutional - Coal,Sulfur Dioxide,CAP,0.0,TON
133120,NC,37121,Mitchell,Fuel Comb - Residential - Natural Gas,Carbon Monoxide,CAP,0.3911334,TON
133153,NC,37081,Guilford,Fuel Comb - Comm/Institutional - Coal,Nitrogen Oxides,CAP,0.0,TON
133692,NC,37185,Warren,Fuel Comb - Residential - Other,Sulfur Dioxide,CAP,0.02025851,TON
133793,NC,37135,Orange,Fuel Comb - Comm/Institutional - Other,PM10 Primary (Filt + Cond),CAP,0.02149449,TON
134971,NC,37063,Durham,Fuel Comb - Residential - Wood,PM10 Primary (Filt + Cond),CAP,197.42533712,TON
135554,NC,37191,Wayne,Fuel Comb - Residential - Wood,Volatile Organic Compounds,CAP,123.352483479,TON
136244,NC,37071,Gaston,Fuel Comb - Comm/Institutional - Natural Gas,Carbon Monoxide,CAP,52.783480000000004,TON
136289,NC,37031,Carteret,Fuel Comb - Residential - Other,PM10 Primary (Filt + Cond),CAP,0.03610415,TON
141553,NC,37165,Scotland,Fuel Comb - Comm/Institutional - Other,Volatile Organic Compounds,CAP,0.04527036,TON
