,Operator ID,Operator Name,Operator Type,State,2010 - Main Miles Built,2011 - Main Miles Built,2012 - Main Miles Built,2013 - Main Miles Built,2014 - Main Miles Built,2015 - Main Miles Built,2016 - Main Miles Built,2017 - Main Miles Built,2018 - Main Miles Built,2019 - Main Miles Built,2020 - Main Miles Built
150,31694,BEDFORD COUNTY UTILITY DISTRICT,Privately Owned,TN,0,0,0,1,4.5,0.0,0.0,0.0,0.0,1.0999999999999996,0
151,31665,UNIVERSITY OF NEW HAMPSHIRE,Privately Owned,NH,0,0.15,-0.01999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.07
152,31653,CITY OF WHITE PLAINS,Municipal Owned,KY,0,15,0,0,0,0,0,0,0,0,15
153,31637,PANHANDLE NATURAL GAS,Privately Owned,OK,0,0,0,0,0,0.4,0.9600000000000001,0.0,0.0,0.0,0
154,31636,NORTHERN STATES POWER CO OF MINNESOTA,Investor Owned,ND,6,10,20,36.382000000000005,32.35199999999999,54.66600000000001,32.099999999999994,10.599999999999994,19.900000000000006,12.800000000000011,17.5
155,31632,NORTHWESTERN CORPORATION,Investor Owned,SD,33,37,-20.182000000000002,13.143,11.248000000000005,23.74799999999999,9.486000000000004,16.128,17.40299999999999,25.326999999999998,24.436
156,31622,GREENLIGHT GAS INC,Cooperative,TX,0,2.993,0.0,0.0,-0.07299999999999995,0.0,0.0,0.0,8.28,0.22300000000000075,0
157,31608,"LDC, LLC.",Investor Owned,TX,2,2.25,1.2400000000000002,18.119999999999997,2.6000000000000014,1.7100000000000009,-5.25,3.389999999999997,2.4800000000000004,2.9299999999999997,10
158,31599,CITY OF SUSANVILLE,Municipal Owned,CA,1,0,0,0,0,0,0,0,0,0,0
159,31597,CITY OF HOOKER,Municipal Owned,OK,0,0,0.84,0.17000000000000004,0.72,0.2799999999999998,0.4800000000000004,0.43999999999999995,0.27,0.6299999999999999,0.29
160,31588,"COSERV GAS, LTD",Privately Owned,TX,18,23,71,66.41999999999999,103.00000000000003,93.26999999999998,140.92000000000002,175.24,97.87599999999998,99.53800000000001,89
161,31539,"HANSON ENGINEERING, L.C.",Investor Owned,KS,6,6.449999999999999,17.37,65.4,2.739999999999995,8.550000000000011,129.89999999999998,22.599999999999994,-8.509999999999991,3.3000000000000114,12.8
162,31531,"ONEOK WESTEX TRANSMISSION, LLC",Investor Owned,TX,0,0,0,0,0,0,0,0,0,0,0
163,31525,CITY OF RIENZI MUNICIPAL GAS,Municipal Owned,MS,0,0,0,0,2,0,0,1,0,0,0
164,31521,CONSUMERS GAS COOPERATIVE,Cooperative,OH,33,7,28,33,4,22,29,50,53,39,35
165,31515,ALPINE NATURAL GAS,Privately Owned,CA,0,0.27,0.42999999999999994,0.81,0.76,0.8799999999999999,0.6499999999999999,0.9699999999999998,2.3900000000000006,1.0399999999999991,0
166,31498,CLAIBORNE UTILITIES DISTRICT,Municipal Owned,TN,0,1,1,1,2,2,0,0,0,0,4
167,31497,WENDOVER GAS CO,Privately Owned,NV,0,1.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
